checklist_id,pland_00,pland_01,pland_02,pland_03,pland_04,pland_05,pland_06,pland_08,pland_09,pland_10,pland_11,pland_12,pland_13,pland_14,pland_15
S38738092,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0.25,0,0,0
S47103932,0.25,0,0,0,0.25,0.25,0,0.25,0,0,0,0,0,0,0
S47328854,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
S38559072,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0
S38611990,0.2,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0,0,0
S47072740,0.25,0,0,0,0,0,0,0.25,0.25,0,0.25,0,0,0,0
S47853216,0,0,0,0,0,0.2,0,0.2,0,0,0,0.2,0.2,0.2,0
S47580172,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0
S47104651,0,0,0.25,0,0,0,0,0.25,0.25,0,0,0,0.25,0,0
S38303820,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0
S47853451,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0.25,0.25,0
S47103599,0.2,0,0,0,0.2,0.2,0,0.2,0,0,0.2,0,0,0,0
S47357652,0.2,0,0,0,0.2,0.2,0,0.2,0,0,0.2,0,0,0,0
S38384491,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0
S46505974,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0
S47170573,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
S38642648,0,0,0,0,0.25,0.25,0,0.25,0.25,0,0,0,0,0,0
S47104977,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,0,0.16666666666666666,0,0.16666666666666666,0,0,0.16666666666666666,0,0,0,0
S38672681,0,0.25,0,0,0,0.25,0,0.25,0.25,0,0,0,0,0,0
S47170974,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
S38671958,0,0,0,0,0.25,0.25,0,0.25,0,0,0,0,0.25,0,0
S46505900,0,0,0,0,0,0.25,0,0.25,0.25,0.25,0,0,0,0,0
S47317303,0,0,0,0,0,0,0,0.25,0.25,0,0.25,0,0.25,0,0
S37063786,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0
S37022012,0.3333333333333333,0,0,0,0,0,0,0,0.3333333333333333,0,0.3333333333333333,0,0,0,0
S36943864,0.25,0,0,0,0,0,0,0.25,0.25,0,0,0,0.25,0,0
S36943721,0,0,0.3333333333333333,0,0.3333333333333333,0,0,0.3333333333333333,0,0,0,0,0,0,0
S37061371,0.25,0,0.25,0,0,0,0,0.25,0,0,0.25,0,0,0,0
S37018297,0,0,0.2,0,0.2,0,0,0.2,0.2,0,0,0,0.2,0,0
S37142703,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0
S37385650,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0
S37289581,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,0,0,0,0,0,0
S37289620,0,0,0,0,0.25,0.25,0,0.25,0.25,0,0,0,0,0,0
S36983503,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0.3333333333333333,0,0
S37002212,0.3333333333333333,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0.3333333333333333,0,0
S37401908,0.16666666666666666,0,0.16666666666666666,0,0,0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,0,0,0
